#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
49,Render RNDR,$2.04,0.1%,4.5%,5.0%,"$40,453,007","$752,082,523","$1,082,746,203",0.69
50,Optimism OP,$1.17,-0.1%,5.8%,1.3%,"$92,549,591","$751,660,968","$5,008,354,650",0.15
51,ApeCoin APE,$2.02,-0.2%,0.8%,-10.8%,"$78,052,720","$745,393,250","$2,022,262,314",0.37
52,Aave AAVE,$51.55,-0.1%,1.3%,-4.7%,"$31,643,951","$744,074,882","$824,791,825",0.90
53,Fantom FTM,$0.261884,-0.0%,-1.0%,4.3%,"$63,676,313","$732,234,704","$831,613,181",0.88
54,USDD USDD,$0.999024,-0.1%,0.0%,0.1%,"$10,193,826","$730,718,876",-,-
55,The Sandbox SAND,$0.384524,0.1%,-0.5%,-2.1%,"$42,245,207","$718,931,878","$1,153,532,014",0.62
56,WhiteBIT Token WBT,$4.82,-0.1%,0.5%,3.7%,"$565,400","$693,864,981","$1,925,817,708",0.36
57,EOS EOS,$0.620503,-0.2%,-0.9%,-8.5%,"$80,558,073","$688,976,732",-,-
58,Tezos XTZ,$0.721848,-0.6%,0.1%,-2.0%,"$13,624,938","$674,115,203",-,-
59,Bitget Token BGB,$0.471625,0.0%,0.2%,-0.3%,"$13,386,090","$660,275,180","$943,249,584",0.70
60,ImmutableX IMX,$0.621473,-0.6%,-1.3%,-1.8%,"$12,292,926","$647,244,314","$1,244,239,381",0.52
61,Theta Network THETA,$0.641181,-0.2%,-2.4%,-3.1%,"$6,378,522","$641,321,511","$641,321,511",1.00
62,Maker MKR,$709.16,0.1%,2.9%,12.3%,"$26,114,222","$639,180,613","$713,122,730",0.90
63,KuCoin KCS,$6.43,0.0%,-4.7%,5.9%,"$3,744,982","$622,967,692","$928,553,720",0.67
64,Radix XRD,$0.060673069491,0.2%,3.9%,-1.6%,"$2,092,480","$618,039,221","$1,454,924,765",0.42
65,Decentraland MANA,$0.336978,-0.3%,0.4%,-2.7%,"$33,769,491","$614,891,392","$739,210,759",0.83
66,BitDAO BIT,$0.409177,-0.0%,-0.8%,-3.4%,"$2,317,009","$594,906,670","$3,932,291,691",0.15
67,Synthetix Network SNX,$1.81,-0.2%,-0.4%,-1.0%,"$13,462,148","$577,287,715","$578,596,924",1.00
68,Axie Infinity AXS,$4.94,-0.4%,1.4%,-2.0%,"$25,212,134","$571,496,266","$1,334,101,497",0.43
70,Gemini Dollar GUSD,$1.00,0.4%,0.1%,0.1%,"$1,558,047","$567,007,367","$567,007,367",1.00
69,GALA GALA,$0.023368577059,-0.6%,1.3%,5.0%,"$34,873,691","$566,351,351","$1,168,595,392",0.48
71,Gate GT,$4.00,-0.1%,-0.6%,-2.3%,"$538,985","$555,725,728","$1,199,244,939",0.46
72,NEO NEO,$7.75,-0.4%,-0.1%,-1.6%,"$16,692,011","$546,467,887","$774,802,052",0.71
73,Curve DAO CRV,$0.635224,0.8%,3.4%,-1.9%,"$38,922,809","$542,609,420","$2,098,029,283",0.26
74,Terra Luna Classic LUNC,$0.000089778123,0.0%,-0.3%,-2.9%,"$33,717,854","$523,833,981","$614,979,186",0.85
75,Klaytn KLAY,$0.161021,-0.1%,3.4%,5.0%,"$9,288,227","$504,401,072",-,-
76,Injective INJ,$6.23,0.2%,3.3%,7.5%,"$31,402,329","$498,702,970","$623,335,428",0.80
77,PAX Gold PAXG,"$1,921.42",-0.1%,-0.4%,-0.5%,"$3,755,809","$491,685,554","$491,685,554",1.00
78,Tether Gold XAUT,"$1,951.79",0.1%,-0.1%,-0.3%,"$6,440,149","$481,270,735","$481,270,735",1.00
79,Bitcoin SV BSV,$24.78,0.0%,-0.0%,-3.4%,"$9,601,866","$478,035,974","$521,058,628",0.92
81,Kava KAVA,$0.805240,0.1%,0.3%,0.3%,"$14,054,643","$468,077,695","$468,087,674",1.00
80,Flow FLOW,$0.451205,-0.9%,-2.9%,-10.2%,"$12,988,111","$467,538,024","$649,075,566",0.72
82,cETH CETH,$34.71,-0.2%,0.1%,-1.0%,$758.74,"$458,877,581","$458,877,546",1.00
83,Tokenize Xchange TKX,$5.62,-0.1%,0.6%,-0.8%,"$16,383,407","$449,652,643","$562,093,909",0.80
84,BitTorrent BTT,$0.000000465865,-0.9%,-1.7%,-13.4%,"$14,744,242","$443,234,280","$461,206,561",0.96
85,XDC Network XDC,$0.031922623948,0.6%,-1.5%,-3.5%,"$1,934,881","$441,937,934","$1,208,074,784",0.37
86,GMX GMX,$50.22,-0.1%,1.6%,10.6%,"$12,432,338","$441,829,771","$665,383,425",0.66
87,IOTA MIOTA,$0.158706,-0.1%,-0.5%,-0.5%,"$6,757,388","$441,142,940","$441,142,940",1.00
88,Casper Network CSPR,$0.039219600841,0.6%,-2.6%,-1.5%,"$2,732,233","$435,996,484","$462,919,185",0.94
89,Huobi HT,$2.60,-0.1%,0.0%,-1.7%,"$8,095,840","$422,557,731","$530,955,775",0.80
90,Kaspa KAS,$0.021628050326,0.3%,10.4%,33.0%,"$9,645,702","$415,639,670","$621,335,375",0.67
91,Sui SUI,$0.783328,-0.5%,4.2%,11.1%,"$136,293,972","$413,062,908","$7,819,107,676",0.05
92,Frax Share FXS,$5.66,0.0%,6.0%,12.4%,"$23,421,702","$409,630,185","$564,043,148",0.73
93,cUSDC CUSDC,$0.022871863600,0.1%,-0.1%,-0.1%,$2.78,"$397,535,232","$397,535,232",1.00
94,Frax Ether FRXETH,"$1,723.83",-0.3%,0.2%,-1.3%,"$6,804,130","$392,981,478","$392,981,478",1.00
95,Mina Protocol MINA,$0.424960,-0.4%,-0.1%,2.5%,"$6,277,780","$391,038,039","$443,817,437",0.88
96,Pepe PEPE,$0.000000930253,0.1%,-1.0%,1.0%,"$69,268,723","$390,848,911","$390,848,911",1.00
98,Trust Wallet TWT,$0.929957,-0.6%,-1.8%,25.6%,"$21,918,929","$387,466,647","$929,957,374",0.42
97,eCash XEC,$0.000019897424,-0.5%,-0.7%,-3.3%,"$984,530","$386,403,555","$417,845,866",0.92
99,Conflux CFX,$0.179598,-0.0%,-0.8%,-3.7%,"$32,668,582","$376,714,841","$949,173,733",0.40
100,Chiliz CHZ,$0.068481130685,-0.3%,2.1%,0.8%,"$24,960,017","$365,963,630","$608,714,583",0.60
1,Bitcoin BTC,"$26,801.21",-0.3%,1.5%,2.9%,"$13,410,197,587","$520,281,940,535","$562,983,777,501",0.92
2,Ethereum ETH,"$1,727.84",-0.0%,0.2%,-1.1%,"$6,421,295,584","$207,737,244,972","$207,737,244,972",1.00
3,Tether USDT,$0.999636,-0.1%,-0.0%,-0.1%,"$13,940,943,578","$83,146,733,505","$83,146,733,505",1.00
4,BNB BNB,$241.63,-0.1%,-0.7%,3.0%,"$424,874,939","$37,667,319,674","$48,336,302,722",0.78
5,USD Coin USDC,$0.999909,0.0%,0.1%,-0.0%,"$3,710,968,706","$28,447,757,476","$28,447,757,476",1.00
6,XRP XRP,$0.485508,-0.5%,-1.9%,-8.7%,"$722,637,150","$25,245,909,632","$48,561,950,292",0.52
7,Lido Staked Ether STETH,"$1,726.37",-0.3%,0.2%,-1.2%,"$11,185,974","$12,602,922,152","$12,602,922,152",1.00
8,Cardano ADA,$0.258658,-0.2%,-1.4%,-7.3%,"$132,928,106","$9,064,154,124","$11,638,941,165",0.78
9,Dogecoin DOGE,$0.062076187639,-0.2%,0.0%,0.2%,"$153,212,260","$8,682,996,843","$8,683,001,189",1.00
10,Solana SOL,$16.00,-0.0%,3.6%,4.1%,"$174,567,018","$6,392,521,544","$8,808,304,091",0.73
11,TRON TRX,$0.069189317843,-0.1%,-1.2%,-4.3%,"$151,342,537","$6,230,305,613","$6,230,306,046",1.00
12,Polygon MATIC,$0.608749,0.1%,1.4%,-5.7%,"$181,140,021","$5,654,947,699","$6,087,482,134",0.93
13,Litecoin LTC,$76.99,-0.4%,-0.6%,-1.7%,"$279,425,527","$5,635,262,747","$6,468,137,850",0.87
14,Polkadot DOT,$4.48,-0.0%,-1.4%,-2.8%,"$91,102,942","$5,581,745,752","$5,944,712,481",0.94
15,Dai DAI,$0.999698,-0.0%,0.0%,0.0%,"$113,926,253","$4,418,233,991","$4,421,382,176",1.00
16,Binance USD BUSD,$0.999801,0.3%,0.0%,0.0%,"$1,298,840,944","$4,295,013,935","$4,295,013,935",1.00
17,Shiba Inu SHIB,$0.000007175970,-0.1%,-0.1%,6.4%,"$92,986,111","$4,228,927,732","$7,175,623,237",0.59
18,Wrapped Bitcoin WBTC,"$26,751.39",-0.5%,1.1%,2.7%,"$162,054,477","$4,198,020,793","$4,198,020,793",1.00
19,Avalanche AVAX,$11.46,-0.1%,0.9%,-1.5%,"$89,608,968","$3,953,084,046","$8,250,687,158",0.48
20,Uniswap UNI,$4.44,0.2%,-0.8%,2.7%,"$32,506,131","$3,343,890,947","$4,436,241,470",0.75
21,LEO Token LEO,$3.56,0.5%,0.3%,1.5%,"$618,975","$3,298,826,481","$3,494,585,988",0.94
22,TrueUSD TUSD,$1.00,0.1%,0.0%,0.3%,"$191,371,545","$3,133,918,970","$3,133,918,970",1.00
23,Chainlink LINK,$5.08,-0.3%,-1.8%,-2.6%,"$117,087,990","$2,624,711,433","$5,075,829,769",0.52
24,Cosmos Hub ATOM,$8.56,-0.5%,-0.1%,-2.6%,"$179,474,509","$2,506,252,384",-,-
25,OKB OKB,$41.56,-0.1%,0.7%,3.7%,"$3,800,949","$2,493,646,328","$12,468,231,638",0.20
26,Monero XMR,$137.23,-0.9%,-0.6%,-1.2%,"$50,512,161","$2,491,115,888",-,-
27,Ethereum Classic ETC,$15.25,-0.3%,-0.0%,-0.3%,"$69,362,337","$2,158,679,882","$3,213,154,817",0.67
28,Stellar XLM,$0.079567636341,-0.4%,-0.8%,-4.5%,"$27,415,580","$2,140,427,522","$3,978,393,641",0.54
29,Bitcoin Cash BCH,$106.01,-0.2%,-0.9%,1.5%,"$48,232,456","$2,059,402,868","$2,226,439,515",0.92
30,Toncoin TON,$1.38,-0.1%,-1.4%,-8.6%,"$3,164,265","$2,036,842,051","$6,990,437,845",0.29
31,Internet Computer ICP,$3.94,-0.1%,-0.3%,3.8%,"$10,626,918","$1,724,513,142","$1,850,034,094",0.93
32,Filecoin FIL,$3.70,0.2%,0.6%,0.3%,"$58,243,069","$1,595,505,529","$7,265,106,623",0.22
33,Lido DAO LDO,$1.77,-0.0%,3.1%,-1.9%,"$22,946,751","$1,559,988,408","$1,773,502,011",0.88
34,Quant QNT,$99.77,0.4%,0.2%,1.2%,"$17,831,694","$1,451,070,564","$1,457,886,526",1.00
35,Hedera HBAR,$0.045019055745,-0.5%,-0.5%,-0.8%,"$12,124,134","$1,424,876,706","$2,251,432,213",0.63
36,Aptos APT,$6.87,0.1%,0.7%,8.5%,"$65,788,694","$1,417,110,223","$7,128,551,156",0.20
37,Cronos CRO,$0.053993782775,-0.3%,0.5%,0.8%,"$4,147,970","$1,410,487,581","$1,620,111,668",0.87
38,Arbitrum ARB,$1.01,-0.1%,1.1%,0.9%,"$116,332,210","$1,288,325,660","$10,104,514,983",0.13
39,NEAR Protocol NEAR,$1.23,-0.3%,0.3%,1.2%,"$30,583,602","$1,136,772,726","$1,231,530,432",0.92
40,VeChain VET,$0.014981600761,-0.0%,0.7%,-6.2%,"$30,370,785","$1,089,383,313","$1,299,098,188",0.84
41,Pax Dollar USDP,$0.999806,0.1%,0.1%,0.0%,"$3,426,014","$1,006,872,125","$1,006,872,125",1.00
42,Frax FRAX,$0.998301,0.0%,-0.0%,-0.2%,"$8,345,861","$1,002,655,638","$1,002,655,638",1.00
43,The Graph GRT,$0.099207569140,-0.1%,-0.2%,-0.5%,"$24,003,236","$898,038,488","$992,061,673",0.91
44,Stacks STX,$0.617777,-0.4%,7.2%,13.5%,"$30,853,740","$857,719,776","$1,123,423,062",0.76
45,Algorand ALGO,$0.115786,-0.4%,-1.0%,0.8%,"$21,759,736","$839,439,750","$1,157,866,680",0.72
46,Rocket Pool ETH RETH,"$1,856.73",-0.3%,0.2%,-1.1%,"$1,404,511","$838,264,475","$838,264,691",1.00
47,Rocket Pool RPL,$40.19,-0.1%,-0.7%,-2.9%,"$3,843,618","$782,679,861","$782,679,861",1.00
48,MultiversX EGLD,$30.18,-0.0%,-0.1%,-1.8%,"$9,118,596","$772,234,609","$948,277,695",0.81
49,Render RNDR,$2.04,0.1%,4.5%,5.0%,"$40,453,007","$752,082,523","$1,082,746,203",0.69
50,Optimism OP,$1.17,-0.1%,5.8%,1.3%,"$92,549,591","$751,660,968","$5,008,354,650",0.15
51,ApeCoin APE,$2.02,-0.2%,0.8%,-10.8%,"$78,052,720","$745,393,250","$2,022,262,314",0.37
52,Aave AAVE,$51.55,-0.1%,1.3%,-4.7%,"$31,643,951","$744,074,882","$824,791,825",0.90
53,Fantom FTM,$0.261884,-0.0%,-1.0%,4.3%,"$63,676,313","$732,234,704","$831,613,181",0.88
54,USDD USDD,$0.999024,-0.1%,0.0%,0.1%,"$10,193,826","$730,718,876",-,-
55,The Sandbox SAND,$0.384524,0.1%,-0.5%,-2.1%,"$42,245,207","$718,931,878","$1,153,532,014",0.62
56,WhiteBIT Token WBT,$4.82,-0.1%,0.5%,3.7%,"$565,400","$693,864,981","$1,925,817,708",0.36
57,EOS EOS,$0.620503,-0.2%,-0.9%,-8.5%,"$80,558,073","$688,976,732",-,-
58,Tezos XTZ,$0.721848,-0.6%,0.1%,-2.0%,"$13,624,938","$674,115,203",-,-
59,Bitget Token BGB,$0.471625,0.0%,0.2%,-0.3%,"$13,386,090","$660,275,180","$943,249,584",0.70
60,ImmutableX IMX,$0.621473,-0.6%,-1.3%,-1.8%,"$12,292,926","$647,244,314","$1,244,239,381",0.52
61,Theta Network THETA,$0.641181,-0.2%,-2.4%,-3.1%,"$6,378,522","$641,321,511","$641,321,511",1.00
62,Maker MKR,$709.16,0.1%,2.9%,12.3%,"$26,114,222","$639,180,613","$713,122,730",0.90
63,KuCoin KCS,$6.43,0.0%,-4.7%,5.9%,"$3,744,982","$622,967,692","$928,553,720",0.67
64,Radix XRD,$0.060673069491,0.2%,3.9%,-1.6%,"$2,092,480","$618,039,221","$1,454,924,765",0.42
65,Decentraland MANA,$0.336978,-0.3%,0.4%,-2.7%,"$33,769,491","$614,891,392","$739,210,759",0.83
66,BitDAO BIT,$0.409177,-0.0%,-0.8%,-3.4%,"$2,317,009","$594,906,670","$3,932,291,691",0.15
67,Synthetix Network SNX,$1.81,-0.2%,-0.4%,-1.0%,"$13,462,148","$577,287,715","$578,596,924",1.00
68,Axie Infinity AXS,$4.94,-0.4%,1.4%,-2.0%,"$25,212,134","$571,496,266","$1,334,101,497",0.43
70,Gemini Dollar GUSD,$1.00,0.4%,0.1%,0.1%,"$1,558,047","$567,007,367","$567,007,367",1.00
69,GALA GALA,$0.023368577059,-0.6%,1.3%,5.0%,"$34,873,691","$566,351,351","$1,168,595,392",0.48
71,Gate GT,$4.00,-0.1%,-0.6%,-2.3%,"$538,985","$555,725,728","$1,199,244,939",0.46
72,NEO NEO,$7.75,-0.4%,-0.1%,-1.6%,"$16,692,011","$546,467,887","$774,802,052",0.71
73,Curve DAO CRV,$0.635224,0.8%,3.4%,-1.9%,"$38,922,809","$542,609,420","$2,098,029,283",0.26
74,Terra Luna Classic LUNC,$0.000089778123,0.0%,-0.3%,-2.9%,"$33,717,854","$523,833,981","$614,979,186",0.85
75,Klaytn KLAY,$0.161021,-0.1%,3.4%,5.0%,"$9,288,227","$504,401,072",-,-
76,Injective INJ,$6.23,0.2%,3.3%,7.5%,"$31,402,329","$498,702,970","$623,335,428",0.80
77,PAX Gold PAXG,"$1,921.42",-0.1%,-0.4%,-0.5%,"$3,755,809","$491,685,554","$491,685,554",1.00
78,Tether Gold XAUT,"$1,951.79",0.1%,-0.1%,-0.3%,"$6,440,149","$481,270,735","$481,270,735",1.00
79,Bitcoin SV BSV,$24.78,0.0%,-0.0%,-3.4%,"$9,601,866","$478,035,974","$521,058,628",0.92
81,Kava KAVA,$0.805240,0.1%,0.3%,0.3%,"$14,054,643","$468,077,695","$468,087,674",1.00
80,Flow FLOW,$0.451205,-0.9%,-2.9%,-10.2%,"$12,988,111","$467,538,024","$649,075,566",0.72
82,cETH CETH,$34.71,-0.2%,0.1%,-1.0%,$758.74,"$458,877,581","$458,877,546",1.00
83,Tokenize Xchange TKX,$5.62,-0.1%,0.6%,-0.8%,"$16,383,407","$449,652,643","$562,093,909",0.80
84,BitTorrent BTT,$0.000000465865,-0.9%,-1.7%,-13.4%,"$14,744,242","$443,234,280","$461,206,561",0.96
85,XDC Network XDC,$0.031922623948,0.6%,-1.5%,-3.5%,"$1,934,881","$441,937,934","$1,208,074,784",0.37
86,GMX GMX,$50.22,-0.1%,1.6%,10.6%,"$12,432,338","$441,829,771","$665,383,425",0.66
87,IOTA MIOTA,$0.158706,-0.1%,-0.5%,-0.5%,"$6,757,388","$441,142,940","$441,142,940",1.00
88,Casper Network CSPR,$0.039219600841,0.6%,-2.6%,-1.5%,"$2,732,233","$435,996,484","$462,919,185",0.94
89,Huobi HT,$2.60,-0.1%,0.0%,-1.7%,"$8,095,840","$422,557,731","$530,955,775",0.80
90,Kaspa KAS,$0.021628050326,0.3%,10.4%,33.0%,"$9,645,702","$415,639,670","$621,335,375",0.67
91,Sui SUI,$0.783328,-0.5%,4.2%,11.1%,"$136,293,972","$413,062,908","$7,819,107,676",0.05
92,Frax Share FXS,$5.66,0.0%,6.0%,12.4%,"$23,421,702","$409,630,185","$564,043,148",0.73
93,cUSDC CUSDC,$0.022871863600,0.1%,-0.1%,-0.1%,$2.78,"$397,535,232","$397,535,232",1.00
94,Frax Ether FRXETH,"$1,723.83",-0.3%,0.2%,-1.3%,"$6,804,130","$392,981,478","$392,981,478",1.00
95,Mina Protocol MINA,$0.424960,-0.4%,-0.1%,2.5%,"$6,277,780","$391,038,039","$443,817,437",0.88
96,Pepe PEPE,$0.000000930253,0.1%,-1.0%,1.0%,"$69,268,723","$390,848,911","$390,848,911",1.00
98,Trust Wallet TWT,$0.929957,-0.6%,-1.8%,25.6%,"$21,918,929","$387,466,647","$929,957,374",0.42
97,eCash XEC,$0.000019897424,-0.5%,-0.7%,-3.3%,"$984,530","$386,403,555","$417,845,866",0.92
99,Conflux CFX,$0.179598,-0.0%,-0.8%,-3.7%,"$32,668,582","$376,714,841","$949,173,733",0.40
100,Chiliz CHZ,$0.068481130685,-0.3%,2.1%,0.8%,"$24,960,017","$365,963,630","$608,714,583",0.60
